dataset,prname,k,auc,anom_ratio
glass,px_γ,15,0.5845864661654134,0.005
glass,px_κ,21,0.5016917293233082,0.005
glass,px_δ,21,0.5171052631578947,0.005
glass,px_γ,21,0.5565789473684211,0.005
glass,px_κ,29,0.49906015037593987,0.005
glass,px_δ,29,0.5037593984962406,0.005
glass,px_γ,29,0.537593984962406,0.005
glass,px_κ,39,0.525,0.005
glass,px_δ,39,0.4883458646616542,0.005
glass,px_γ,39,0.530451127819549,0.005
haberman,px_κ,1,0.875,0.05
haberman,px_δ,1,0.8341836734693878,0.05
haberman,px_γ,1,0.875,0.05
haberman,px_κ,3,0.9209183673469388,0.05
haberman,px_δ,3,0.7474489795918368,0.05
haberman,px_γ,3,0.9183673469387754,0.05
haberman,px_κ,5,0.9183673469387754,0.05
haberman,px_δ,5,0.7270408163265307,0.05
haberman,px_γ,5,0.9158163265306122,0.05
haberman,px_κ,9,0.9438775510204082,0.05
haberman,px_δ,9,0.7270408163265306,0.05
haberman,px_γ,9,0.9260204081632653,0.05
haberman,px_κ,15,0.9489795918367347,0.05
haberman,px_δ,15,0.7168367346938774,0.05
haberman,px_γ,15,0.9413265306122449,0.05
haberman,px_κ,21,0.9489795918367347,0.05
haberman,px_δ,21,0.7015306122448981,0.05
haberman,px_γ,21,0.9464285714285714,0.05
haberman,px_κ,29,0.9438775510204083,0.05
haberman,px_δ,29,0.6326530612244898,0.05
haberman,px_γ,29,0.9464285714285714,0.05
haberman,px_κ,39,0.9387755102040816,0.05
haberman,px_δ,39,0.7602040816326531,0.05
haberman,px_γ,39,0.9464285714285714,0.05
haberman,px_κ,1,0.925,0.01
haberman,px_δ,1,0.8160714285714287,0.01
haberman,px_γ,1,0.925,0.01
haberman,px_κ,3,0.9553571428571427,0.01
haberman,px_δ,3,0.8178571428571428,0.01
haberman,px_γ,3,0.9464285714285715,0.01
haberman,px_κ,5,0.955357142857143,0.01
haberman,px_δ,5,0.7625000000000001,0.01
