hidden,latent,layers,nonlinearity,layertype,memorysize,k,β,anomaliesSeen,f1,auc,rsTrn,rsTst,knnauc,knnprec,knnrecall,ar,i,model,dataset,Column1,mean auc,std auc,mean knnauc,std auc2
32,8,3,relu,Dense,32,16,0.1,5,0.333333333,0.916242698,0.241478033,0.30238806,0.915112116,0.722222222,0.448275862,0.05,1,svae,cardiotocography,Better,0.869342378,0.049211078,0.860509704,0.045202111
32,8,3,relu,Dense,32,16,0.1,5,0.163265306,0.825136612,0.237849894,0.351345379,0.899660825,0.769230769,0.344827586,0.05,1,svae,cardiotocography,Worse,,,,
32,8,3,relu,Dense,32,16,0.1,5,0.323232323,0.909176559,0.232082513,0.390129658,0.903712078,0.647058824,0.379310345,0.05,1,svae,cardiotocography,Better,,,,
32,8,3,relu,Dense,32,16,0.1,5,0.231884058,0.872715282,0.243058981,0.294849515,0.804597701,0.7,0.24137931,0.05,1,svae,cardiotocography,Better,,,,
32,8,3,relu,Dense,32,16,0.1,5,0.254545455,0.770962879,0.234458194,0.242593227,0.811004334,0.75,0.310344828,0.05,1,svae,cardiotocography,Worse,,,,
32,8,3,relu,Dense,32,16,0.1,5,0.3,0.94205766,0.24453087,0.324514153,0.825325042,0.636363636,0.24137931,0.05,1,svae,cardiotocography,Better,,,,
32,8,3,relu,Dense,32,16,0.1,5,0.28125,0.856792915,0.219274993,0.252571144,0.884963256,1,0.137931034,0.05,1,svae,cardiotocography,Worse,,,,
32,8,3,relu,Dense,32,16,0.1,5,0.186046512,0.860844168,0.222636914,0.22579861,0.860844168,0.7,0.24137931,0.05,1,svae,cardiotocography,Better,,,,
32,8,3,relu,Dense,32,16,0.1,5,0.315789474,0.849161485,0.257708843,0.32063455,0.896693047,0.5625,0.310344828,0.05,1,svae,cardiotocography,Worse,,,,
32,8,3,relu,Dense,32,16,0.1,5,0.326086957,0.890333522,0.262103709,0.340446978,0.803184473,0.611111111,0.379310345,0.05,1,svae,cardiotocography,Better,,,,
32,8,3,relu,Dense,32,32,0.1,1,0.121212121,0.774543056,0.244721335,0.291156415,0.548991897,NaN,0,0.005,1,svae,cardiotocography,Better,0.818729979,0.096191599,0.589984926,0.042589727
